dataset,method,condition,class,precision,recall,f1,support
UNSW,MLP,Block30,Backdoor,0.2915798027775575,0.643019554342883,0.40110165826733607,1466.0
UNSW,MLP,Block30,DoS,0.4814258704514076,0.42477777777777775,0.4512122174647429,3000.0
UNSW,MLP,Block30,Exploits,0.897791349628401,0.37633333333333335,0.5302393196326386,3000.0
UNSW,MLP,Block30,Normal,0.7113043324049307,0.7732222222222221,0.7400514859826818,3000.0
UNSW,MLP,Block30,Reconnaissance,0.5192177927139575,0.3456666666666666,0.4149038893907786,3000.0
UNSW,MLP,Block30,Shellcode,0.41773226521354495,0.511520737327189,0.45890619812153277,1302.0
UNSW,MLP,Block30,Worms,0.4844761843111946,0.835426731078905,0.6131683788719525,1035.0
UNSW,MLP,Clean,Backdoor,0.44607248500834534,0.567530695770805,0.49918697471041823,1466.0
UNSW,MLP,Clean,DoS,0.5673055093395106,0.6172222222222222,0.5910656688858359,3000.0
UNSW,MLP,Clean,Exploits,0.884888491667691,0.5731111111111111,0.6953150931831099,3000.0
UNSW,MLP,Clean,Normal,0.8405922976602692,0.8297777777777777,0.8342779367401251,3000.0
UNSW,MLP,Clean,Reconnaissance,0.577069717819878,0.5081111111111111,0.5402709567289993,3000.0
UNSW,MLP,Clean,Shellcode,0.5399993146247308,0.8361495135688685,0.6542875156702886,1302.0
UNSW,MLP,Clean,Worms,0.9029341445852822,0.9426731078904992,0.9220720348482279,1035.0
UNSW,MLP,Mask30,Backdoor,0.268900591262987,0.5864029104138244,0.3685476628639031,1466.0
UNSW,MLP,Mask30,DoS,0.4873767951131181,0.4347777777777777,0.4593132028329632,3000.0
UNSW,MLP,Mask30,Exploits,0.927565283514923,0.29,0.4414976490865527,3000.0
UNSW,MLP,Mask30,Normal,0.7249972967667931,0.7097777777777777,0.7168869399093722,3000.0
UNSW,MLP,Mask30,Reconnaissance,0.5323061172806897,0.22444444444444442,0.3155209254610692,3000.0
UNSW,MLP,Mask30,Shellcode,0.32186976603483347,0.5975422427035331,0.41819815284043577,1302.0
UNSW,MLP,Mask30,Worms,0.3980222913534157,0.9046698872785829,0.5525850728222265,1035.0
UNSW,MLP MaskAug,Block30,Backdoor,0.4196519783273514,0.5325147794452024,0.4686662607769932,1466.0
UNSW,MLP MaskAug,Block30,DoS,0.5634632035700928,0.592,0.5769179122842902,3000.0
UNSW,MLP MaskAug,Block30,Exploits,0.8833851844590196,0.5518888888888889,0.6786943732217635,3000.0
UNSW,MLP MaskAug,Block30,Normal,0.8021359056581595,0.7646666666666667,0.7820951549101753,3000.0
UNSW,MLP MaskAug,Block30,Reconnaissance,0.5958332480512392,0.41055555555555556,0.4860707676644808,3000.0
UNSW,MLP MaskAug,Block30,Shellcode,0.39614251288252245,0.8238607270865336,0.5345175326793798,1302.0
UNSW,MLP MaskAug,Block30,Worms,0.7041243034101118,0.8560386473429952,0.7724803672687378,1035.0
UNSW,MLP MaskAug,Clean,Backdoor,0.48488259279050805,0.5939063210550249,0.5329216097831148,1466.0
UNSW,MLP MaskAug,Clean,DoS,0.5811256587894844,0.6281111111111111,0.6031662577414516,3000.0
UNSW,MLP MaskAug,Clean,Exploits,0.8482008006051025,0.6055555555555555,0.706027331339277,3000.0
UNSW,MLP MaskAug,Clean,Normal,0.8883372159149537,0.8138888888888888,0.8494734498322197,3000.0
UNSW,MLP MaskAug,Clean,Reconnaissance,0.6422204420902484,0.5884444444444444,0.6136957247668388,3000.0
UNSW,MLP MaskAug,Clean,Shellcode,0.5520565668470648,0.8717357910906299,0.6756893682510934,1302.0
UNSW,MLP MaskAug,Clean,Worms,0.9374846108395366,0.9513687600644122,0.9442827960333994,1035.0
UNSW,MLP MaskAug,Mask30,Backdoor,0.39674673935929294,0.5459299681673487,0.4581098563771436,1466.0
UNSW,MLP MaskAug,Mask30,DoS,0.5628581839356245,0.5802222222222223,0.5709791465918034,3000.0
UNSW,MLP MaskAug,Mask30,Exploits,0.8899281010776243,0.5474444444444444,0.6774411742131949,3000.0
UNSW,MLP MaskAug,Mask30,Normal,0.9026760132415865,0.7288888888888888,0.8063010597039842,3000.0
UNSW,MLP MaskAug,Mask30,Reconnaissance,0.5707498660409996,0.35600000000000004,0.43796064977934596,3000.0
UNSW,MLP MaskAug,Mask30,Shellcode,0.36623152989086943,0.8625192012288787,0.5138811084113271,1302.0
UNSW,MLP MaskAug,Mask30,Worms,0.6398344310456084,0.9033816425120773,0.7487406342633108,1035.0
