method_name,val_experiment,condition,macro_f1_mean
MLP,E1_clean,Clean,0.6766394543952864
MLP,E3_mask_30,Mask30,0.4675070865452175
MLP,E3_mask_50,Mask50,0.3796540200989819
MLP,E3_block_30,Block30,0.5156547353902375
MLP,E3_block_50,Block50,0.4218829071968075
MLP,E4_noise_30,Noise30,0.5939579515196871
MLP,E4_noise_50,Noise50,0.5515329653969417
"MaskOnly {0.1,0.3}",E1_clean,Clean,0.6923304987510281
"MaskOnly {0.1,0.3}",E3_mask_30,Mask30,0.6118441140697423
"MaskOnly {0.1,0.3}",E3_mask_50,Mask50,0.5647069513666972
"MaskOnly {0.1,0.3}",E3_block_30,Block30,0.6063829975226152
"MaskOnly {0.1,0.3}",E3_block_50,Block50,0.5562187830373526
"MaskOnly {0.1,0.3}",E4_noise_30,Noise30,0.6273404356538487
"MaskOnly {0.1,0.3}",E4_noise_50,Noise50,0.5954867605629194
BlockOnly {0.1},E1_clean,Clean,0.6970373091445925
BlockOnly {0.1},E3_mask_30,Mask30,0.5170161908725434
BlockOnly {0.1},E3_mask_50,Mask50,0.4606491476893384
BlockOnly {0.1},E3_block_30,Block30,0.6316415396281084
BlockOnly {0.1},E3_block_50,Block50,0.5781387380325994
BlockOnly {0.1},E4_noise_30,Noise30,0.598575434734994
BlockOnly {0.1},E4_noise_50,Noise50,0.5635844370469533
Mask+Block,E1_clean,Clean,0.7002862036102862
Mask+Block,E3_mask_30,Mask30,0.6101937303672829
Mask+Block,E3_mask_50,Mask50,0.5596362787765686
Mask+Block,E3_block_30,Block30,0.6250493312971117
Mask+Block,E3_block_50,Block50,0.5735713522046897
Mask+Block,E4_noise_30,Noise30,0.609965589169251
Mask+Block,E4_noise_50,Noise50,0.5736775559936146
MLP MaskAug,E1_clean,Clean,0.7017419095898493
MLP MaskAug,E3_mask_30,Mask30,0.6134508280013842
MLP MaskAug,E3_mask_50,Mask50,0.564019200470856
MLP MaskAug,E3_block_30,Block30,0.6132997717340571
MLP MaskAug,E3_block_50,Block50,0.5577459330141069
MLP MaskAug,E4_noise_30,Noise30,0.6348202317761914
MLP MaskAug,E4_noise_50,Noise50,0.5990024297220011
