method_name,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,delta_macro_f1_mean,delta_macro_f1_std
MLP,E1_clean,0.9696666666666666,0.002619372274250256,0.9696627096913581,0.0026204222080552504,0.0,0.0
MLP,E3_block_30,0.7242777777777777,0.008253506549968408,0.7235475368006309,0.007920237251528784,-0.24611517289072735,0.005359444866812392
MLP,E3_block_50,0.641,0.005198824653494046,0.637359548967087,0.006070555873620471,-0.3323031607242711,0.005813218621311547
MLP,E3_mask_30,0.7218333333333332,0.01861973266307667,0.7212025875612987,0.01842361062386601,-0.24846012213005927,0.015927960964871108
MLP,E3_mask_50,0.6421666666666667,0.0057831171909657805,0.6392787201616094,0.005272000015397009,-0.3303839895297488,0.0031177215581419744
MLP,E4_noise_30,0.9463333333333334,0.004252450274057674,0.9463323051524116,0.004252652568198479,-0.023330404538946525,0.002402917163066783
MLP,E4_noise_50,0.8965,0.0048505440702850625,0.8963704109502529,0.004862399424642419,-0.07329229874110525,0.0029505154543385
MLP_MaskAug,E1_clean,0.9766111111111111,0.0061606577330430585,0.9766093420644707,0.0061622459415229145,0.0,0.0
MLP_MaskAug,E3_block_30,0.9335,0.003844187531556877,0.9334690733144909,0.00386439872646806,-0.04314026874997975,0.0025814480689055927
MLP_MaskAug,E3_block_50,0.8766666666666666,0.005547772325697828,0.8764193506488342,0.0057740490418775325,-0.10018999141563634,0.001128128821813645
MLP_MaskAug,E3_mask_30,0.9326111111111111,0.005488202836117665,0.9325827277061771,0.005494556853789002,-0.044026614358293546,0.0009435863764217735
MLP_MaskAug,E3_mask_50,0.8791666666666668,0.004419024527854241,0.8788956952528104,0.004637403454357359,-0.09771364681166024,0.0028622198196980642
MLP_MaskAug,E4_noise_30,0.9720555555555556,0.005965952781626107,0.972054240216271,0.005965950591687762,-0.0045551018481996275,0.0017355343207917137
MLP_MaskAug,E4_noise_50,0.9634444444444444,0.0046825127790457045,0.9634414700914565,0.004682844259233981,-0.01316787197301402,0.003408156050812825
