method_name,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,total_params,trainable_params,delta_macro_f1_mean,delta_macro_f1_std,method_family,text_col
tfidf_svm,E1_clean,0.9855,0.0,0.985499822372824,0.0,1,50001.0,50001.0,0.0,0.0,text_baseline,text
MLP_MaskAug,E1_clean,0.9766111111111112,0.006160657733043,0.9766093420644708,0.0061622459415229,3,,,0.0,0.0,tabular,structured_features
MLP,E1_clean,0.9696666666666666,0.0026193722742502,0.969662709691358,0.0026204222080552,3,,,0.0,0.0,tabular,structured_features
MLP_MaskAug,E3_mask_30,0.9326111111111112,0.0054882028361176,0.9325827277061772,0.005494556853789,3,,,-0.0440266143582935,0.0009435863764217,tabular,structured_features
MLP,E3_mask_30,0.7218333333333332,0.0186197326630766,0.7212025875612987,0.018423610623866,3,,,-0.2484601221300592,0.0159279609648711,tabular,structured_features
tfidf_svm,E3_mask_30,0.7018333333333333,0.0,0.6728100486758302,0.0,1,50001.0,50001.0,-0.3126897736969938,0.0,text_baseline,text
MLP_MaskAug,E3_mask_50,0.8791666666666668,0.0044190245278542,0.8788956952528104,0.0046374034543573,3,,,-0.0977136468116602,0.002862219819698,tabular,structured_features
MLP,E3_mask_50,0.6421666666666667,0.0057831171909657,0.6392787201616094,0.005272000015397,3,,,-0.3303839895297488,0.0031177215581419,tabular,structured_features
tfidf_svm,E3_mask_50,0.5135,0.0,0.3626507440708669,0.0,1,50001.0,50001.0,-0.6228490783019571,0.0,text_baseline,text
MLP_MaskAug,E3_block_30,0.9335,0.0038441875315568,0.9334690733144908,0.003864398726468,3,,,-0.0431402687499797,0.0025814480689055,tabular,structured_features
MLP,E3_block_30,0.7242777777777777,0.0082535065499684,0.7235475368006309,0.0079202372515287,3,,,-0.2461151728907273,0.0053594448668123,tabular,structured_features
tfidf_svm,E3_block_30,0.7145,0.0,0.6893564319403608,0.0,1,50001.0,50001.0,-0.2961433904324632,0.0,text_baseline,text
MLP_MaskAug,E3_block_50,0.8766666666666666,0.0055477723256978,0.8764193506488342,0.0057740490418775,3,,,-0.1001899914156363,0.0011281288218136,tabular,structured_features
MLP,E3_block_50,0.641,0.005198824653494,0.637359548967087,0.0060705558736204,3,,,-0.3323031607242711,0.0058132186213115,tabular,structured_features
tfidf_svm,E3_block_50,0.5363333333333333,0.0,0.4093517745419432,0.0,1,50001.0,50001.0,-0.5761480478308807,0.0,text_baseline,text
MLP_MaskAug,E4_noise_30,0.9720555555555556,0.0059659527816261,0.972054240216271,0.0059659505916877,3,,,-0.0045551018481996,0.0017355343207917,tabular,structured_features
MLP,E4_noise_30,0.9463333333333334,0.0042524502740576,0.9463323051524116,0.0042526525681984,3,,,-0.0233304045389465,0.0024029171630667,tabular,structured_features
tfidf_svm,E4_noise_30,0.5018333333333334,0.0,0.3373945106308943,0.0,1,50001.0,50001.0,-0.6481053117419296,0.0,text_baseline,text
MLP_MaskAug,E4_noise_50,0.9634444444444444,0.0046825127790457,0.9634414700914564,0.0046828442592339,3,,,-0.013167871973014,0.0034081560508128,tabular,structured_features
MLP,E4_noise_50,0.8965,0.004850544070285,0.8963704109502529,0.0048623994246424,3,,,-0.0732922987411052,0.0029505154543385,tabular,structured_features
tfidf_svm,E4_noise_50,0.5003333333333333,0.0,0.3343690552806722,0.0,1,50001.0,50001.0,-0.6511307670921518,0.0,text_baseline,text
