method_name,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,delta_macro_f1_mean,delta_macro_f1_std,source_run
MLP_MaskAug,E1_clean,0.6872745681199772,0.0031941857784278,0.7002862036102862,0.0027990973715575,0.0,0.0,lightweight_ablation_combo_3seed
MLP_BlockOnly,E1_clean,0.6832247041700943,0.0018438020988842,0.6970373091445925,0.0041755655973485,0.0,0.0,lightweight_ablation_blockonly_3seed
MLP_MaskOnly,E1_clean,0.6788373515577212,0.0037974504893055,0.6923304987510281,0.004120915905523,0.0,0.0,lightweight_ablation_maskonly_3seed
MLP,E1_clean,0.6632285009175473,0.005704956106858,0.6766394543952864,0.0071911491947028,0.0,0.0,lightweight_tabular_full_3seed
MLP_MaskOnly,E3_mask_30,0.6084920584699107,0.0039013004218941,0.6118441140697423,0.0052563274264893,-0.0804863846812858,0.0032413368055005,lightweight_ablation_maskonly_3seed
MLP_MaskAug,E3_mask_30,0.6090193845050518,0.0057810712587552,0.6101937303672829,0.0033915797394932,-0.0900924732430032,0.0055037349406629,lightweight_ablation_combo_3seed
MLP_BlockOnly,E3_mask_30,0.5192263072412411,0.0112546744896151,0.5170161908725434,0.0169862721357927,-0.1800211182720491,0.0128234589654423,lightweight_ablation_blockonly_3seed
MLP,E3_mask_30,0.4778206669619693,0.0022736498415771,0.4675070865452175,0.0030114614359141,-0.2091323678500688,0.0089646740152341,lightweight_tabular_full_3seed
MLP_MaskOnly,E3_mask_50,0.5655466261680272,0.0029723231436386,0.5647069513666972,0.0049496082058224,-0.1276235473843308,0.0039466527598567,lightweight_ablation_maskonly_3seed
MLP_MaskAug,E3_mask_50,0.5652302305469425,0.0067635685029129,0.5596362787765686,0.0055686021656097,-0.1406499248337174,0.0078936674342104,lightweight_ablation_combo_3seed
MLP_BlockOnly,E3_mask_50,0.4656710751123205,0.0121895698968641,0.4606491476893384,0.018847623650575,-0.236388161455254,0.0147625004606794,lightweight_ablation_blockonly_3seed
MLP,E3_mask_50,0.399670948554072,0.0063418185490692,0.3796540200989819,0.0086359080674775,-0.2969854342963043,0.0142866630499913,lightweight_tabular_full_3seed
MLP_BlockOnly,E3_block_30,0.6275812609420153,0.0066320426692283,0.6316415396281084,0.0166691095883976,-0.0653957695164841,0.0124970830359346,lightweight_ablation_blockonly_3seed
MLP_MaskAug,E3_block_30,0.6254086776772342,0.0040579305960963,0.6250493312971117,0.005431580278143,-0.0752368723131744,0.0042459411861247,lightweight_ablation_combo_3seed
MLP_MaskOnly,E3_block_30,0.606952266447299,0.0044679423501276,0.6063829975226152,0.0060026602207964,-0.0859475012284129,0.0033995395230146,lightweight_ablation_maskonly_3seed
MLP,E3_block_30,0.5209981227193149,0.0054853669820263,0.5156547353902375,0.0043966440562437,-0.1609847190050488,0.0046252165055334,lightweight_tabular_full_3seed
MLP_BlockOnly,E3_block_50,0.5789407074606087,0.0103980136762938,0.5781387380325994,0.0229263884316558,-0.1188985711119931,0.0187535389216821,lightweight_ablation_blockonly_3seed
MLP_MaskAug,E3_block_50,0.5804383134004092,0.0042826146898351,0.5735713522046897,0.0040895453114702,-0.1267148514055964,0.0039367269290547,lightweight_ablation_combo_3seed
MLP_MaskOnly,E3_block_50,0.5590288763736843,0.0040736883342627,0.5562187830373526,0.0066370339129565,-0.1361117157136755,0.0050359796709304,lightweight_ablation_maskonly_3seed
MLP,E3_block_50,0.4396211689763547,0.0032050319413145,0.4218829071968075,0.0021993312230636,-0.2547565471984788,0.005304060490164,lightweight_tabular_full_3seed
MLP_MaskOnly,E4_noise_30,0.6192284165453816,0.0033587646732667,0.6273404356538487,0.002349624360048,-0.0649900630971794,0.0036980766287808,lightweight_ablation_maskonly_3seed
MLP_MaskAug,E4_noise_30,0.6019321225927566,0.0062330205031283,0.609965589169251,0.0057724444928922,-0.090320614441035,0.0079372796365947,lightweight_ablation_combo_3seed
MLP_BlockOnly,E4_noise_30,0.5920183931321058,0.0045938784702185,0.598575434734994,0.0094730900499201,-0.0984618744095986,0.0055237153610134,lightweight_ablation_blockonly_3seed
MLP,E4_noise_30,0.5897192516188909,0.0109804020341144,0.5939579515196871,0.0106860734414649,-0.0826815028755992,0.0075713173112762,lightweight_tabular_full_3seed
MLP_MaskOnly,E4_noise_50,0.5914910670969648,0.001727570311919,0.5954867605629194,0.0033726624449924,-0.0968437381881087,0.0017116992811844,lightweight_ablation_maskonly_3seed
MLP_MaskAug,E4_noise_50,0.5733299584467084,0.006410063882629,0.5736775559936146,0.0098619404286568,-0.1266086476166715,0.0115509129328854,lightweight_ablation_combo_3seed
MLP_BlockOnly,E4_noise_50,0.5615600413423611,0.007552339837261,0.5635844370469533,0.0146039146837932,-0.1334528720976392,0.010465851340624,lightweight_ablation_blockonly_3seed
MLP,E4_noise_50,0.5544516863886604,0.0069916989518107,0.5515329653969417,0.0077995949051602,-0.1251064889983447,0.0047142278304686,lightweight_tabular_full_3seed
