split_seed,method_name,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,n_model_seeds,macro_f1_base,delta_macro_f1_mean
42,MLP_MaskAug,E1_clean,0.688455778438693,0.000255739535805031,0.7037426541249405,0.00038904925015101203,3,0.7037426541249405,0.0
42,MLP,E1_clean,0.6632285009175473,0.005704956106858009,0.6766394543952864,0.007191149194702856,3,0.6766394543952864,0.0
42,MLP_MaskAug,E3_mask_30,0.6053491953004704,0.008995063144864547,0.6097734357813286,0.011528245128031732,3,0.7037426541249405,-0.09396921834361194
42,MLP,E3_mask_30,0.4778206669619693,0.0022736498415771448,0.4675070865452175,0.0030114614359141307,3,0.6766394543952864,-0.2091323678500689
42,MLP_MaskAug,E3_mask_50,0.5609061570587862,0.00930267694282703,0.5599382213991707,0.012063537749572794,3,0.7037426541249405,-0.14380443272576982
42,MLP,E3_mask_50,0.399670948554072,0.006341818549069156,0.37965402009898197,0.008635908067477566,3,0.6766394543952864,-0.2969854342963044
42,MLP_MaskAug,E3_block_30,0.6230040709569913,0.007635914057565436,0.626568061924758,0.010309809581273888,3,0.7037426541249405,-0.07717459220018252
42,MLP,E3_block_30,0.5209981227193149,0.005485366982026304,0.5156547353902375,0.004396644056243777,3,0.6766394543952864,-0.16098471900504885
42,MLP_MaskAug,E3_block_50,0.572654981121728,0.007388859587572855,0.5725704259894823,0.00932061426011013,3,0.7037426541249405,-0.13117222813545826
42,MLP,E3_block_50,0.4396211689763547,0.0032050319413145564,0.42188290719680754,0.0021993312230636124,3,0.6766394543952864,-0.25475654719847884
42,MLP_MaskAug,E4_noise_30,0.6068889873230822,0.005821794062922637,0.6180933953053928,0.004578379312247593,3,0.7037426541249405,-0.08564925881954777
42,MLP,E4_noise_30,0.5897192516188909,0.010980402034114437,0.5939579515196871,0.010686073441464914,3,0.6766394543952864,-0.08268150287559928
42,MLP_MaskAug,E4_noise_50,0.5811343837667954,0.005192102592812073,0.5882040979738474,0.0041876417920165086,3,0.7037426541249405,-0.1155385561510931
42,MLP,E4_noise_50,0.5544516863886604,0.006991698951810727,0.5515329653969417,0.007799594905160267,3,0.6766394543952864,-0.12510648899834464
52,MLP_MaskAug,E1_clean,0.69098694340737,0.005600947254459336,0.7037352797946587,0.005827924016233837,3,0.7037352797946587,0.0
52,MLP,E1_clean,0.6567529372060158,0.005783148829502468,0.6694161870575229,0.006075617440089563,3,0.6694161870575229,0.0
52,MLP_MaskAug,E3_mask_30,0.6106224556518804,0.00767070716558951,0.6135193668639457,0.006953003235399587,3,0.7037352797946587,-0.09021591293071296
52,MLP,E3_mask_30,0.47729334092682824,0.009340979023516204,0.46952845000200577,0.01108970632722448,3,0.6694161870575229,-0.19988773705551716
52,MLP_MaskAug,E3_mask_50,0.5633951359446518,0.006832192076885996,0.5611593286046799,0.008292002095521497,3,0.7037352797946587,-0.1425759511899788
52,MLP,E3_mask_50,0.39739290008226286,0.011346036967145071,0.3797601012894547,0.016269716962167644,3,0.6694161870575229,-0.2896560857680682
52,MLP_MaskAug,E3_block_30,0.6344786854816596,0.003247848953784801,0.6386956048729596,0.0021910722897054125,3,0.7037352797946587,-0.06503967492169904
52,MLP,E3_block_30,0.5111476723828808,0.005636580071586036,0.5059142886524143,0.007569536789670364,3,0.6694161870575229,-0.16350189840510865
52,MLP_MaskAug,E3_block_50,0.5850998755510557,0.0023948731192873557,0.5843592227955368,0.0020678281967796914,3,0.7037352797946587,-0.1193760569991219
52,MLP,E3_block_50,0.4302980446750617,0.0038392232644731887,0.4137470384308577,0.006362511555961465,3,0.6694161870575229,-0.25566914862666523
52,MLP_MaskAug,E4_noise_30,0.6105591765276636,0.00683453601614303,0.6173365164202994,0.005539605510760595,3,0.7037352797946587,-0.08639876337435926
52,MLP,E4_noise_30,0.5798266151996456,0.00716620366570031,0.5831401440653504,0.007993650056136429,3,0.6694161870575229,-0.08627604299217251
52,MLP_MaskAug,E4_noise_50,0.5774220084794026,0.011045425057854129,0.5771727528173903,0.012952745398224854,3,0.7037352797946587,-0.12656252697726833
52,MLP,E4_noise_50,0.5454871437912633,0.008239985218718745,0.5419076804825975,0.008575694988116462,3,0.6694161870575229,-0.1275085065749254
62,MLP_MaskAug,E1_clean,0.685291822227847,0.004695606651295428,0.6978160252617304,0.003334767064373466,3,0.6978160252617304,0.0
62,MLP,E1_clean,0.6687759708072307,0.004096233884014021,0.6804597716516336,0.0021320073775998832,3,0.6804597716516336,0.0
62,MLP_MaskAug,E3_mask_30,0.6072264759855723,0.00660380649277704,0.6098745752828784,0.005634301283144667,3,0.6978160252617304,-0.087941449978852
62,MLP,E3_mask_30,0.48083697188297575,0.0069590735561501985,0.4690979644476501,0.008032234767714657,3,0.6804597716516336,-0.2113618072039835
62,MLP_MaskAug,E3_mask_50,0.5622982977915586,0.009795191464435344,0.5588138076494676,0.008237650422217828,3,0.6978160252617304,-0.13900221761226272
62,MLP,E3_mask_50,0.40304583517897447,0.007764101850338095,0.38298969571602787,0.009708201982923634,3,0.6804597716516336,-0.29747007593560576
62,MLP_MaskAug,E3_block_30,0.6281507730599675,0.008821557791144217,0.6318537171378629,0.006573244098468189,3,0.6978160252617304,-0.0659623081238675
62,MLP,E3_block_30,0.5226222869075492,0.002358368050823756,0.5146055729921002,0.0038193680565814367,3,0.6804597716516336,-0.16585419865953344
62,MLP_MaskAug,E3_block_50,0.5805648716488431,0.012443053120852327,0.5774043379793531,0.009042664095977315,3,0.6978160252617304,-0.12041168728237728
62,MLP,E3_block_50,0.43603535193739584,0.0030743062623470115,0.4152191166916774,0.00480709911926349,3,0.6804597716516336,-0.26524065495995625
62,MLP_MaskAug,E4_noise_30,0.6068678942816764,0.010129075267469045,0.6147343754131503,0.00917149567539207,3,0.6978160252617304,-0.08308164984858002
62,MLP,E4_noise_30,0.6041679849817545,0.006476250744838365,0.6071871852741101,0.006805852452481597,3,0.6804597716516336,-0.07327258637752354
62,MLP_MaskAug,E4_noise_50,0.5749119365521315,0.010006575302073575,0.5751823003136985,0.009308343576996085,3,0.6978160252617304,-0.12263372494803182
62,MLP,E4_noise_50,0.5643654158493113,0.00481683974421482,0.5630051115723091,0.0053453498429347395,3,0.6804597716516336,-0.11745466007932448
